"Accession","chrm","region","locus_tag","gene","start_end_strand","excluded_from_cluster","cluster"
"NRRL6477","6477_Z1_len5435389",3,"GUT2","6477_Z1__g000906--FGSG_03249..FSPOR_5879","1932..4042","no","6477_Z1_len5435389.region003"
"NRRL6477","6477_Z1_len5435389",3,"6477_Z1__g000907--FGSG_03250..FSPOR_5880","6477_Z1__g000907--FGSG_03250..FSPOR_5880","6048..7471","no","6477_Z1_len5435389.region003"
"NRRL6477","6477_Z1_len5435389",3,"6477_Z1__g000908--FGSG_03251..FSPOR_5881","6477_Z1__g000908--FGSG_03251..FSPOR_5881","complement(7977..8978)","no","6477_Z1_len5435389.region003"
"NRRL6477","6477_Z1_len5435389",3,"6477_Z1__g000909--FGSG_03252..FSPOR_5882","6477_Z1__g000909--FGSG_03252..FSPOR_5882","12121..16128","no","6477_Z1_len5435389.region003"
"NRRL6477","6477_Z1_len5435389",3,"6477_Z1__g000910--FGSG_03255..FSPOR_5883","6477_Z1__g000910--FGSG_03255..FSPOR_5883","complement(16482..17525)","no","6477_Z1_len5435389.region003"
"NRRL6477","6477_Z1_len5435389",3,"6477_Z1__g000911--FGSG_03256..FSPOR_5884","6477_Z1__g000911--FGSG_03256..FSPOR_5884","complement(18357..19261)","no","6477_Z1_len5435389.region003"
"NRRL6477","6477_Z1_len5435389",3,"6477_Z1__g000912--FGSG_03257..FSPOR_5885","6477_Z1__g000912--FGSG_03257..FSPOR_5885","20001..22933","no","6477_Z1_len5435389.region003"
"NRRL6477","6477_Z1_len5435389",3,"6477_Z1__g000913--FGSG_03258..FSPOR_5886","6477_Z1__g000913--FGSG_03258..FSPOR_5886","23329..24355","no","6477_Z1_len5435389.region003"
"NRRL6477","6477_Z1_len5435389",3,"6477_Z1__g000914--FGSG_03259..FSPOR_5887","6477_Z1__g000914--FGSG_03259..FSPOR_5887","25078..26418","no","6477_Z1_len5435389.region003"
"NRRL6477","6477_Z1_len5435389",3,"6477_Z1__g000915--FGSG_03260..FSPOR_5888","6477_Z1__g000915--FGSG_03260..FSPOR_5888","26770..28451","no","6477_Z1_len5435389.region003"
"NRRL6477","6477_Z1_len5435389",3,"6477_Z1__g000916--FGSG_03261..FSPOR_5889","6477_Z1__g000916--FGSG_03261..FSPOR_5889","complement(28675..30160)","no","6477_Z1_len5435389.region003"
"NRRL6477","6477_Z1_len5435389",3,"6477_Z1__g000917--FGSG_03262..FSPOR_5890","6477_Z1__g000917--FGSG_03262..FSPOR_5890","31712..32761","no","6477_Z1_len5435389.region003"
"NRRL6477","6477_Z1_len5435389",3,"6477_Z1__g000918--FGSG_03263..FSPOR_5891","6477_Z1__g000918--FGSG_03263..FSPOR_5891","33311..34864","no","6477_Z1_len5435389.region003"
"NRRL6477","6477_Z1_len5435389",3,"6477_Z1__g000919--FGSG_03264..FSPOR_5892","6477_Z1__g000919--FGSG_03264..FSPOR_5892","36704..37861","no","6477_Z1_len5435389.region003"
"NRRL6477","6477_Z1_len5435389",3,"6477_Z1__g000920--FGSG_03265..FSPOR_5893","6477_Z1__g000920--FGSG_03265..FSPOR_5893","40163..41433","no","6477_Z1_len5435389.region003"
"NRRL6477","6477_Z1_len5435389",3,"6477_Z1__g000921","6477_Z1__g000921","42646..42743","yes","6477_Z1_len5435389.region003"
"NRRL6477","6477_Z1_len5435389",4,"6477_Z1__g000986--FGSG_03330..FSPOR_5956","6477_Z1__g000986--FGSG_03330..FSPOR_5956","complement(1007..2555)","no","6477_Z1_len5435389.region004"
"NRRL6477","6477_Z1_len5435389",4,"6477_Z1__g000987","6477_Z1__g000987","2959..3030","yes","6477_Z1_len5435389.region004"
"NRRL6477","6477_Z1_len5435389",4,"6477_Z1__g000988--FGSG_03332..FSPOR_9266","6477_Z1__g000988--FGSG_03332..FSPOR_9266","4484..5888","no","6477_Z1_len5435389.region004"
"NRRL6477","6477_Z1_len5435389",4,"6477_Z1__g000989--FGSG_03333..FSPOR_9267","6477_Z1__g000989--FGSG_03333..FSPOR_9267","6678..7772","no","6477_Z1_len5435389.region004"
"NRRL6477","6477_Z1_len5435389",4,"6477_Z1__g000990--FGSG_03334..FSPOR_11523","6477_Z1__g000990--FGSG_03334..FSPOR_11523","complement(8061..8601)","no","6477_Z1_len5435389.region004"
"NRRL6477","6477_Z1_len5435389",4,"6477_Z1__g000991--FGSG_03337..FSPOR_11522","6477_Z1__g000991--FGSG_03337..FSPOR_11522","9474..12824","no","6477_Z1_len5435389.region004"
"NRRL6477","6477_Z1_len5435389",4,"6477_Z1__g000992--FGSG_03338..FSPOR_3727","6477_Z1__g000992--FGSG_03338..FSPOR_3727","14250..14758","no","6477_Z1_len5435389.region004"
"NRRL6477","6477_Z1_len5435389",4,"6477_Z1__g000993--FGSG_03339..FSPOR_3726","6477_Z1__g000993--FGSG_03339..FSPOR_3726","17084..17583","no","6477_Z1_len5435389.region004"
"NRRL6477","6477_Z1_len5435389",4,"GPY1","6477_Z1__g000994--FGSG_03340..FSPOR_3725","20001..28494","no","6477_Z1_len5435389.region004"
"NRRL6477","6477_Z1_len5435389",4,"6477_Z1__g000995--FGSG_03341..FSPOR_3724","6477_Z1__g000995--FGSG_03341..FSPOR_3724","complement(29009..29650)","no","6477_Z1_len5435389.region004"
"NRRL6477","6477_Z1_len5435389",4,"6477_Z1__g000996--FGSG_03342..FSPOR_3723","6477_Z1__g000996--FGSG_03342..FSPOR_3723","32481..33446","no","6477_Z1_len5435389.region004"
"NRRL6477","6477_Z1_len5435389",4,"6477_Z1__g000997--FGSG_03343..FSPOR_3722","6477_Z1__g000997--FGSG_03343..FSPOR_3722","34065..37444","no","6477_Z1_len5435389.region004"
"NRRL6477","6477_Z1_len5435389",4,"6477_Z1__g000998--FGSG_03344..FSPOR_3721","6477_Z1__g000998--FGSG_03344..FSPOR_3721","38298..39567","no","6477_Z1_len5435389.region004"
"NRRL6477","6477_Z1_len5435389",4,"6477_Z1__g000999--FGSG_03345..FSPOR_3720","6477_Z1__g000999--FGSG_03345..FSPOR_3720","complement(39796..41675)","no","6477_Z1_len5435389.region004"
"NRRL6477","6477_Z1_len5435389",4,"6477_Z1__g001000--FGSG_03346..FSPOR_3719","6477_Z1__g001000--FGSG_03346..FSPOR_3719","42509..44299","no","6477_Z1_len5435389.region004"
"NRRL6477","6477_Z1_len5435389",5,"TRI7","6477_Z1__g001194--FGSG_03533..FSPOR_6144","31..863","no","6477_Z1_len5435389.region005"
"NRRL6477","6477_Z1_len5435389",5,"TRI3","6477_Z1__g001195--FGSG_03534..FSPOR_6145","1637..3419","no","6477_Z1_len5435389.region005"
"NRRL6477","6477_Z1_len5435389",5,"TRI4","6477_Z1__g001196--FGSG_03535..FSPOR_6146","complement(4180..5922)","no","6477_Z1_len5435389.region005"
"NRRL6477","6477_Z1_len5435389",5,"TRI5","6477_Z1__g001197--FGSG_03537..FSPOR_6147","10001..11185","no","6477_Z1_len5435389.region005"
"NRRL6477","6477_Z1_len5435389",5,"TRI10","6477_Z1__g001198--FGSG_03538..FSPOR_6148","12156..13141","no","6477_Z1_len5435389.region005"
"NRRL6477","6477_Z1_len5435389",5,"TRI11","6477_Z1__g001199","complement(14990..16711)","no","6477_Z1_len5435389.region005"
"NRRL6477","6477_Z1_len5435389",5,"TRI12","6477_Z1__g001200--FGSG_03540..FSPOR_6149","complement(17353..19254)","no","6477_Z1_len5435389.region005"
"NRRL6477","6477_Z1_len5435389",6,"6477_Z1__g001393","6477_Z1__g001393","complement(889..963)","yes","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",6,"6477_Z1__g001394--FGSG_11311..FSPOR_1129","6477_Z1__g001394--FGSG_11311..FSPOR_1129","complement(2124..2966)","no","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",6,"6477_Z1__g001395--FGSG_03725..FSPOR_1130","6477_Z1__g001395--FGSG_03725..FSPOR_1130","complement(3803..5611)","no","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",6,"6477_Z1__g001396","6477_Z1__g001396","7248..7321","yes","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",6,"6477_Z1__g001397--FGSG_03726..FSPOR_1131","6477_Z1__g001397--FGSG_03726..FSPOR_1131","complement(7518..9203)","no","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",6,"6477_Z1__g001398--FGSG_03727..FSPOR_1133","6477_Z1__g001398--FGSG_03727..FSPOR_1133","11153..12425","no","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",6,"6477_Z1__g001399--FGSG_03728..FSPOR_1134","6477_Z1__g001399--FGSG_03728..FSPOR_1134","13494..14596","no","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",6,"6477_Z1__g001400--FGSG_03729..FSPOR_1135","6477_Z1__g001400--FGSG_03729..FSPOR_1135","15413..16707","no","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",6,"6477_Z1__g001401--FGSG_03730..FSPOR_1136","6477_Z1__g001401--FGSG_03730..FSPOR_1136","complement(17105..18993)","no","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",6,"6477_Z1__g001402--FGSG_03731..FSPOR_1137","6477_Z1__g001402--FGSG_03731..FSPOR_1137","19871..20965","no","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",6,"6477_Z1__g001403--FGSG_03732..FSPOR_1138","6477_Z1__g001403--FGSG_03732..FSPOR_1138","21785..23712","no","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",6,"6477_Z1__g001404--FGSG_03734..FSPOR_1139","6477_Z1__g001404--FGSG_03734..FSPOR_1139","complement(24014..24692)","no","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",6,"CDR1","6477_Z1__g001405--FGSG_03735..FSPOR_1141","complement(25001..31970)","no","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",6,"6477_Z1__g001406--FGSG_03736..FSPOR_1142","6477_Z1__g001406--FGSG_03736..FSPOR_1142","33751..37538","no","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",6,"6477_Z1__g001407--FGSG_03737..FSPOR_1143","6477_Z1__g001407--FGSG_03737..FSPOR_1143","38643..40397","no","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",6,"6477_Z1__g001408--FGSG_03738..FSPOR_1144","6477_Z1__g001408--FGSG_03738..FSPOR_1144","complement(40719..41792)","no","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",6,"ATF1_1","6477_Z1__g001409--FGSG_03739..FSPOR_1145","42530..43978","no","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",6,"6477_Z1__g001410--FGSG_12390..FSPOR_1146","6477_Z1__g001410--FGSG_12390..FSPOR_1146","44857..47073","no","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",6,"6477_Z1__g001411--FGSG_12389..FSPOR_1147","6477_Z1__g001411--FGSG_12389..FSPOR_1147","47566..49005","no","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",6,"6477_Z1__g001412--FGSG_03742..FSPOR_1148","6477_Z1__g001412--FGSG_03742..FSPOR_1148","complement(49420..51987)","no","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",6,"6477_Z1__g001413--FGSG_03741..FSPOR_1149","6477_Z1__g001413--FGSG_03741..FSPOR_1149","complement(53295..55105)","no","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",6,"6477_Z1__g001414","6477_Z1__g001414","complement(56769..56868)","yes","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",6,"6477_Z1__g001415--FGSG_03743..FSPOR_1150","6477_Z1__g001415--FGSG_03743..FSPOR_1150","57857..58821","no","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",6,"6477_Z1__g001416--FGSG_03744..FSPOR_1151","6477_Z1__g001416--FGSG_03744..FSPOR_1151","complement(59258..61204)","no","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",6,"6477_Z1__g001417--FGSG_03745..FSPOR_1152","6477_Z1__g001417--FGSG_03745..FSPOR_1152","complement(63271..64557)","no","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",6,"6477_Z1__g001418--FGSG_03746..FSPOR_1153","6477_Z1__g001418--FGSG_03746..FSPOR_1153","67122..67997","no","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",6,"NPS6","6477_Z1__g001419--FGSG_03747..FSPOR_1154","69369..75634","no","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",6,"6477_Z1__g001420--FGSG_03748..FSPOR_1155","6477_Z1__g001420--FGSG_03748..FSPOR_1155","complement(75766..76579)","no","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",6,"6477_Z1__g001421--FSPOR_1156","6477_Z1__g001421--FSPOR_1156","complement(77767..78058)","no","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",6,"6477_Z1__g001422--FGSG_12386..FSPOR_1157","6477_Z1__g001422--FGSG_12386..FSPOR_1157","81857..82996","no","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",6,"6477_Z1__g001423--FGSG_03752..FSPOR_1158","6477_Z1__g001423--FGSG_03752..FSPOR_1158","complement(83157..84285)","no","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",6,"6477_Z1__g001424--FGSG_03751..FSPOR_1159","6477_Z1__g001424--FGSG_03751..FSPOR_1159","85463..87384","no","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",6,"6477_Z1__g001425--FGSG_03750..FSPOR_1160","6477_Z1__g001425--FGSG_03750..FSPOR_1160","complement(87748..90480)","no","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",6,"6477_Z1__g001426--FGSG_03749..FSPOR_1162","6477_Z1__g001426--FGSG_03749..FSPOR_1162","complement(92360..93803)","no","6477_Z1_len5435389.region006"
"NRRL6477","6477_Z1_len5435389",7,"VPS52","6477_Z1__g001841--FGSG_01954..FSPOR_1025","complement(1499..3584)","no","6477_Z1_len5435389.region007"
"NRRL6477","6477_Z1_len5435389",7,"ANB1","6477_Z1__g001842--FGSG_01955..FSPOR_1024","5302..6189","no","6477_Z1_len5435389.region007"
"NRRL6477","6477_Z1_len5435389",7,"6477_Z1__g001843--FGSG_01956..FSPOR_1023","6477_Z1__g001843--FGSG_01956..FSPOR_1023","6975..8828","no","6477_Z1_len5435389.region007"
"NRRL6477","6477_Z1_len5435389",7,"6477_Z1__g001844--FGSG_01957..FSPOR_1022","6477_Z1__g001844--FGSG_01957..FSPOR_1022","10586..11589","no","6477_Z1_len5435389.region007"
"NRRL6477","6477_Z1_len5435389",7,"6477_Z1__g001845--FGSG_01958..FSPOR_1021","6477_Z1__g001845--FGSG_01958..FSPOR_1021","complement(11832..12440)","no","6477_Z1_len5435389.region007"
"NRRL6477","6477_Z1_len5435389",7,"ERG5","6477_Z1__g001846--FGSG_01959..FSPOR_1020","complement(13220..15065)","no","6477_Z1_len5435389.region007"
"NRRL6477","6477_Z1_len5435389",7,"6477_Z1__g001847--FGSG_01960..FSPOR_1019","6477_Z1__g001847--FGSG_01960..FSPOR_1019","18962..19348","no","6477_Z1_len5435389.region007"
"NRRL6477","6477_Z1_len5435389",7,"NRPS32","6477_Z1__g001848--FGSG_13878..FSPOR_1018","complement(20001..46903)","no","6477_Z1_len5435389.region007"
"NRRL6477","6477_Z1_len5435389",7,"6477_Z1__g001849--FSPOR_1017","6477_Z1__g001849--FSPOR_1017","complement(48500..50551)","no","6477_Z1_len5435389.region007"
"NRRL6477","6477_Z1_len5435389",7,"6477_Z1__g001850--FSPOR_1016","6477_Z1__g001850--FSPOR_1016","51434..55540","no","6477_Z1_len5435389.region007"
"NRRL6477","6477_Z1_len5435389",7,"6477_Z1__g001851--FSPOR_1015","6477_Z1__g001851--FSPOR_1015","complement(56035..56890)","no","6477_Z1_len5435389.region007"
"NRRL6477","6477_Z1_len5435389",7,"PKS40","6477_Z1__g001852--FSPOR_1014","58009..65895","no","6477_Z1_len5435389.region007"
"NRRL6477","6477_Z1_len5435389",7,"6477_Z1__g001853--FSPOR_1013","6477_Z1__g001853--FSPOR_1013","69223..70118","no","6477_Z1_len5435389.region007"
"NRRL6477","6477_Z1_len5435389",7,"6477_Z1__g001854--FSPOR_1012","6477_Z1__g001854--FSPOR_1012","complement(70510..71943)","no","6477_Z1_len5435389.region007"
"NRRL6477","6477_Z1_len5435389",7,"6477_Z1__g001855--FGSG_01962..FSPOR_1011","6477_Z1__g001855--FGSG_01962..FSPOR_1011","complement(73414..75465)","no","6477_Z1_len5435389.region007"
"NRRL6477","6477_Z1_len5435389",7,"6477_Z1__g001856--FGSG_01963..FSPOR_1010","6477_Z1__g001856--FGSG_01963..FSPOR_1010","76499..77886","no","6477_Z1_len5435389.region007"
"NRRL6477","6477_Z1_len5435389",7,"6477_Z1__g001857--FGSG_12039..FSPOR_1009","6477_Z1__g001857--FGSG_12039..FSPOR_1009","complement(78568..84014)","no","6477_Z1_len5435389.region007"
"NRRL6477","6477_Z11_len1542866",1,"6477_Z11__g009163--FGSG_10517..FSPOR_10930","6477_Z11__g009163--FGSG_10517..FSPOR_10930","650..2668","no","6477_Z11_len1542866.region001"
"NRRL6477","6477_Z11_len1542866",1,"6477_Z11__g009164--FGSG_10516..FSPOR_10929","6477_Z11__g009164--FGSG_10516..FSPOR_10929","5046..6295","no","6477_Z11_len1542866.region001"
"NRRL6477","6477_Z11_len1542866",1,"6477_Z11__g009165--FGSG_10520..FSPOR_10928","6477_Z11__g009165--FGSG_10520..FSPOR_10928","complement(10791..12527)","no","6477_Z11_len1542866.region001"
"NRRL6477","6477_Z11_len1542866",1,"6477_Z11__g009166--FGSG_10521..FSPOR_10927","6477_Z11__g009166--FGSG_10521..FSPOR_10927","13187..14092","no","6477_Z11_len1542866.region001"
"NRRL6477","6477_Z11_len1542866",1,"6477_Z11__g009167--FGSG_10522..FSPOR_10926","6477_Z11__g009167--FGSG_10522..FSPOR_10926","16725..19490","no","6477_Z11_len1542866.region001"
"NRRL6477","6477_Z11_len1542866",1,"6477_Z11__g009168--FGSG_10523..FSPOR_10925","6477_Z11__g009168--FGSG_10523..FSPOR_10925","complement(20001..27643)","no","6477_Z11_len1542866.region001"
"NRRL6477","6477_Z11_len1542866",1,"6477_Z11__g009169--FSPOR_10924","6477_Z11__g009169--FSPOR_10924","complement(29418..29936)","no","6477_Z11_len1542866.region001"
"NRRL6477","6477_Z11_len1542866",1,"6477_Z11__g009170--FGSG_10524..FSPOR_10923","6477_Z11__g009170--FGSG_10524..FSPOR_10923","complement(30525..33658)","no","6477_Z11_len1542866.region001"
"NRRL6477","6477_Z11_len1542866",1,"6477_Z11__g009171--FGSG_10526..FSPOR_10922","6477_Z11__g009171--FGSG_10526..FSPOR_10922","36087..38453","no","6477_Z11_len1542866.region001"
"NRRL6477","6477_Z11_len1542866",1,"6477_Z11__g009172--FGSG_10525..FSPOR_10921","6477_Z11__g009172--FGSG_10525..FSPOR_10921","39346..40653","no","6477_Z11_len1542866.region001"
"NRRL6477","6477_Z11_len1542866",1,"6477_Z11__g009173--FGSG_10528..FSPOR_10920","6477_Z11__g009173--FGSG_10528..FSPOR_10920","42450..45141","no","6477_Z11_len1542866.region001"
"NRRL6477","6477_Z11_len1542866",1,"6477_Z11__g009174--FGSG_10529..FSPOR_10919","6477_Z11__g009174--FGSG_10529..FSPOR_10919","complement(45594..47204)","no","6477_Z11_len1542866.region001"
"NRRL6477","6477_Z11_len1542866",2,"6477_Z11__g009286--FSPOR_4485","6477_Z11__g009286--FSPOR_4485","complement(71..1639)","no","6477_Z11_len1542866.region002"
"NRRL6477","6477_Z11_len1542866",2,"6477_Z11__g009287--FSPOR_4486","6477_Z11__g009287--FSPOR_4486","complement(1981..3716)","no","6477_Z11_len1542866.region002"
"NRRL6477","6477_Z11_len1542866",2,"6477_Z11__g009288--FGSG_12407..FSPOR_4487","6477_Z11__g009288--FGSG_12407..FSPOR_4487","complement(6876..7355)","no","6477_Z11_len1542866.region002"
"NRRL6477","6477_Z11_len1542866",2,"6477_Z11__g009289--FGSG_12406..FSPOR_4488","6477_Z11__g009289--FGSG_12406..FSPOR_4488","complement(8066..8632)","no","6477_Z11_len1542866.region002"
"NRRL6477","6477_Z11_len1542866",2,"6477_Z11__g009290--FGSG_07815..FSPOR_4489","6477_Z11__g009290--FGSG_07815..FSPOR_4489","10676..11845","no","6477_Z11_len1542866.region002"
"NRRL6477","6477_Z11_len1542866",2,"6477_Z11__g009291--FGSG_10604..FSPOR_4490","6477_Z11__g009291--FGSG_10604..FSPOR_4490","complement(12425..14227)","no","6477_Z11_len1542866.region002"
"NRRL6477","6477_Z11_len1542866",2,"6477_Z11__g009292--FGSG_10605..FSPOR_4491","6477_Z11__g009292--FGSG_10605..FSPOR_4491","14840..15502","no","6477_Z11_len1542866.region002"
"NRRL6477","6477_Z11_len1542866",2,"6477_Z11__g009293--FGSG_04682..FSPOR_4493","6477_Z11__g009293--FGSG_04682..FSPOR_4493","18193..19194","no","6477_Z11_len1542866.region002"
"NRRL6477","6477_Z11_len1542866",2,"6477_Z11__g009294--FGSG_10617..FSPOR_4494","6477_Z11__g009294--FGSG_10617..FSPOR_4494","complement(20001..23311)","no","6477_Z11_len1542866.region002"
"NRRL6477","6477_Z11_len1542866",2,"6477_Z11__g009295--FSPOR_4496","6477_Z11__g009295--FSPOR_4496","31643..32149","no","6477_Z11_len1542866.region002"
"NRRL6477","6477_Z11_len1542866",2,"6477_Z11__g009296--FSPOR_4497","6477_Z11__g009296--FSPOR_4497","35301..37098","no","6477_Z11_len1542866.region002"
"NRRL6477","6477_Z11_len1542866",2,"6477_Z11__g009297--FSPOR_4498","6477_Z11__g009297--FSPOR_4498","complement(37230..38276)","no","6477_Z11_len1542866.region002"
"NRRL6477","6477_Z11_len1542866",2,"6477_Z11__g009298--FSPOR_4499","6477_Z11__g009298--FSPOR_4499","40208..40964","no","6477_Z11_len1542866.region002"
"NRRL6477","6477_Z11_len1542866",2,"6477_Z11__g009299--FGSG_04745..FSPOR_4500","6477_Z11__g009299--FGSG_04745..FSPOR_4500","41078..41364","no","6477_Z11_len1542866.region002"
"NRRL6477","6477_Z11_len1542866",2,"6477_Z11__g009300--FGSG_10626..FSPOR_4501","6477_Z11__g009300--FGSG_10626..FSPOR_4501","41697..42638","no","6477_Z11_len1542866.region002"
"NRRL6477","6477_Z11_len1542866",3,"6477_Z11__g009311","6477_Z11__g009311","complement(2156..2653)","no","6477_Z11_len1542866.region003"
"NRRL6477","6477_Z11_len1542866",3,"6477_Z11__g009312--FSPOR_4515","6477_Z11__g009312--FSPOR_4515","8219..9145","no","6477_Z11_len1542866.region003"
"NRRL6477","6477_Z11_len1542866",3,"6477_Z11__g009313--FGSG_04615..FSPOR_4516","6477_Z11__g009313--FGSG_04615..FSPOR_4516","10001..10744","no","6477_Z11_len1542866.region003"
"NRRL6477","6477_Z11_len1542866",3,"6477_Z11__g009314--FSPOR_4517","6477_Z11__g009314--FSPOR_4517","11827..12414","no","6477_Z11_len1542866.region003"
