"Accession","cluster","chrm","region","locus_tag","gene","type","bb_type","start","end","strand"
"NRRL3249","3249_Z1_len4762658.region003","3249_Z1_len4762658",3,"3249_Z1__g001156--FGSG_12813..FSPOR_5052","3249_Z1__g001156--FGSG_12813..FSPOR_5052","other","N/A",3570283,3572759,-1
"NRRL3249","3249_Z1_len4762658.region003","3249_Z1_len4762658",3,"3249_Z1__g001157--FGSG_12814..FSPOR_5051","3249_Z1__g001157--FGSG_12814..FSPOR_5051","other","N/A",3573301,3574986,-1
"NRRL3249","3249_Z1_len4762658.region003","3249_Z1_len4762658",3,"3249_Z1__g001158--FGSG_05790..FSPOR_5048","3249_Z1__g001158--FGSG_05790..FSPOR_5048","other","N/A",3580132,3580860,1
"NRRL3249","3249_Z1_len4762658.region003","3249_Z1_len4762658",3,"3249_Z1__g001159--FGSG_05791..FSPOR_5047","3249_Z1__g001159--FGSG_05791..FSPOR_5047","other","N/A",3581626,3583130,1
"NRRL3249","3249_Z1_len4762658.region003","3249_Z1_len4762658",3,"3249_Z1__g001160--FGSG_05792..FSPOR_5046","3249_Z1__g001160--FGSG_05792..FSPOR_5046","biosynthetic-additional","N/A",3583319,3584664,-1
"NRRL3249","3249_Z1_len4762658.region003","3249_Z1_len4762658",3,"3249_Z1__g001161--FGSG_05793..FSPOR_5045","3249_Z1__g001161--FGSG_05793..FSPOR_5045","other","N/A",3586795,3587363,1
"NRRL3249","3249_Z1_len4762658.region003","3249_Z1_len4762658",3,"3249_Z1__g001162--FGSG_05794..FSPOR_5044","3249_Z1__g001162--FGSG_05794..FSPOR_5044","biosynthetic","T1PKS",3587590,3597633,-1
"NRRL3249","3249_Z1_len4762658.region003","3249_Z1_len4762658",3,"3249_Z1__g001163--FGSG_05795..FSPOR_5043","3249_Z1__g001163--FGSG_05795..FSPOR_5043","other","N/A",3598271,3599830,-1
"NRRL3249","3249_Z1_len4762658.region003","3249_Z1_len4762658",3,"3249_Z1__g001164--FGSG_05796..FSPOR_5042","3249_Z1__g001164--FGSG_05796..FSPOR_5042","other","N/A",3600251,3601408,-1
"NRRL3249","3249_Z1_len4762658.region003","3249_Z1_len4762658",3,"3249_Z1__g001165--FGSG_05797..FSPOR_5041","3249_Z1__g001165--FGSG_05797..FSPOR_5041","other","N/A",3603788,3605638,1
"NRRL3249","3249_Z1_len4762658.region003","3249_Z1_len4762658",3,"3249_Z1__g001166--FGSG_05798..FSPOR_5040","3249_Z1__g001166--FGSG_05798..FSPOR_5040","other","N/A",3606044,3607657,-1
"NRRL3249","3249_Z1_len4762658.region003","3249_Z1_len4762658",3,"3249_Z1__g001167","3249_Z1__g001167","other","N/A",3608501,3608812,-1
"NRRL3249","3249_Z1_len4762658.region003","3249_Z1_len4762658",3,"3249_Z1__g001168--FGSG_05799..FSPOR_5039","3249_Z1__g001168--FGSG_05799..FSPOR_5039","biosynthetic-additional","N/A",3609727,3610546,-1
"NRRL3249","3249_Z1_len4762658.region003","3249_Z1_len4762658",3,"3249_Z1__g001169--FGSG_05800..FSPOR_5038","3249_Z1__g001169--FGSG_05800..FSPOR_5038","other","N/A",3610989,3613388,-1
"NRRL3249","3249_Z1_len4762658.region003","3249_Z1_len4762658",3,"3249_Z1__g001170--FGSG_05801..FSPOR_5037","3249_Z1__g001170--FGSG_05801..FSPOR_5037","transport","N/A",3614052,3615696,1
"NRRL3249","3249_Z1_len4762658.region004","3249_Z1_len4762658",4,"3249_Z1__g001406--FGSG_06038..FSPOR_9249","3249_Z1__g001406--FGSG_06038..FSPOR_9249","other","N/A",4286876,4287262,-1
"NRRL3249","3249_Z1_len4762658.region004","3249_Z1_len4762658",4,"3249_Z1__g001413--FGSG_06042..FSPOR_9243","3249_Z1__g001413--FGSG_06042..FSPOR_9243","other","N/A",4304985,4305599,1
"NRRL3249","3249_Z1_len4762658.region004","3249_Z1_len4762658",4,"3249_Z1__g001414--FGSG_06043..FSPOR_9242","3249_Z1__g001414--FGSG_06043..FSPOR_9242","other","N/A",4305772,4306690,-1
"NRRL3249","3249_Z1_len4762658.region004","3249_Z1_len4762658",4,"3249_Z1__g001419--FGSG_06046..FSPOR_9239","3249_Z1__g001419--FGSG_06046..FSPOR_9239","other","N/A",4314836,4316881,1
"NRRL3249","3249_Z1_len4762658.region004","3249_Z1_len4762658",4,"3249_Z1__g001421--FGSG_06048..FSPOR_2306","3249_Z1__g001421--FGSG_06048..FSPOR_2306","other","N/A",4322546,4323169,1
"NRRL3249","3249_Z1_len4762658.region004","3249_Z1_len4762658",4,"acl1","3249_Z1__g001408--FGSG_12857..FSPOR_9247","other","N/A",4293994,4296019,1
"NRRL3249","3249_Z1_len4762658.region004","3249_Z1_len4762658",4,"acl2_1","3249_Z1__g001407--FGSG_06039..FSPOR_9248","other","N/A",4288663,4290500,-1
"NRRL3249","3249_Z1_len4762658.region004","3249_Z1_len4762658",4,"EAF3_1","3249_Z1__g001410--FGSG_14036..FSPOR_9245","other","N/A",4297646,4298768,-1
"NRRL3249","3249_Z1_len4762658.region004","3249_Z1_len4762658",4,"EAF3_2","3249_Z1__g001411","other","N/A",4299234,4299757,-1
"NRRL3249","3249_Z1_len4762658.region004","3249_Z1_len4762658",4,"GAS4","3249_Z1__g001405--FGSG_06037..FSPOR_9250","other","N/A",4284974,4286490,1
"NRRL3249","3249_Z1_len4762658.region004","3249_Z1_len4762658",4,"LYS2","3249_Z1__g001412--FGSG_06041..FSPOR_9244","biosynthetic","NRPS-like",4300671,4304491,1
"NRRL3249","3249_Z1_len4762658.region004","3249_Z1_len4762658",4,"MRPL33","3249_Z1__g001409--FGSG_12858..FSPOR_9246","other","N/A",4296918,4297181,1
"NRRL3249","3249_Z1_len4762658.region004","3249_Z1_len4762658",4,"RPN3","3249_Z1__g001416--FGSG_06045..FSPOR_9240","other","N/A",4310965,4312819,1
"NRRL3249","3249_Z1_len4762658.region004","3249_Z1_len4762658",4,"SAS2","3249_Z1__g001420--FGSG_06047..FSPOR_9238","other","N/A",4317598,4319627,1
"NRRL3249","3249_Z1_len4762658.region004","3249_Z1_len4762658",4,"TAF12","3249_Z1__g001415--FGSG_06044..FSPOR_9241","other","N/A",4307774,4309913,1
"NRRL3249","3249_Z10_len1379680.region001","3249_Z10_len1379680",1,"3249_Z10__g008590--FGSG_09383..FSPOR_6270","3249_Z10__g008590--FGSG_09383..FSPOR_6270","biosynthetic-additional","N/A",104098,104837,-1
"NRRL3249","3249_Z10_len1379680.region001","3249_Z10_len1379680",1,"3249_Z10__g008591--FGSG_09382..FSPOR_6271","3249_Z10__g008591--FGSG_09382..FSPOR_6271","biosynthetic-additional","N/A",109536,111036,1
"NRRL3249","3249_Z10_len1379680.region001","3249_Z10_len1379680",1,"3249_Z10__g008594--FGSG_09379..FSPOR_6274","3249_Z10__g008594--FGSG_09379..FSPOR_6274","other","N/A",118603,120789,-1
"NRRL3249","3249_Z10_len1379680.region001","3249_Z10_len1379680",1,"CAJ1","3249_Z10__g008593--FGSG_09380..FSPOR_6273","other","N/A",115808,117547,1
"NRRL3249","3249_Z10_len1379680.region001","3249_Z10_len1379680",1,"ERG9","3249_Z10__g008592--FGSG_09381..FSPOR_6272","biosynthetic","terpene",112146,113691,-1
"NRRL3249","3249_Z10_len1379680.region002","3249_Z10_len1379680",2,"3249_Z10__g008787--FGSG_09191..FSPOR_145","3249_Z10__g008787--FGSG_09191..FSPOR_145","other","N/A",702719,703332,1
"NRRL3249","3249_Z10_len1379680.region002","3249_Z10_len1379680",2,"3249_Z10__g008788","3249_Z10__g008788","other","N/A",703702,704361,-1
"NRRL3249","3249_Z10_len1379680.region002","3249_Z10_len1379680",2,"3249_Z10__g008789","3249_Z10__g008789","other","N/A",704928,705917,-1
"NRRL3249","3249_Z10_len1379680.region002","3249_Z10_len1379680",2,"3249_Z10__g008790--FGSG_09189..FSPOR_146","3249_Z10__g008790--FGSG_09189..FSPOR_146","other","N/A",706406,707618,-1
"NRRL3249","3249_Z10_len1379680.region002","3249_Z10_len1379680",2,"3249_Z10__g008791--FGSG_09188..FSPOR_147","3249_Z10__g008791--FGSG_09188..FSPOR_147","other","N/A",708806,709924,1
"NRRL3249","3249_Z10_len1379680.region002","3249_Z10_len1379680",2,"3249_Z10__g008793--FGSG_09186..FSPOR_149","3249_Z10__g008793--FGSG_09186..FSPOR_149","biosynthetic-additional","N/A",712529,713656,1
"NRRL3249","3249_Z10_len1379680.region002","3249_Z10_len1379680",2,"3249_Z10__g008794--FGSG_09185..FSPOR_150","3249_Z10__g008794--FGSG_09185..FSPOR_150","biosynthetic-additional","N/A",714046,715802,1
"NRRL3249","3249_Z10_len1379680.region002","3249_Z10_len1379680",2,"3249_Z10__g008798--FGSG_09181..FSPOR_155","3249_Z10__g008798--FGSG_09181..FSPOR_155","other","N/A",730102,731778,-1
"NRRL3249","3249_Z10_len1379680.region002","3249_Z10_len1379680",2,"3249_Z10__g008799--FGSG_09180..FSPOR_156","3249_Z10__g008799--FGSG_09180..FSPOR_156","other","N/A",732332,734253,-1
"NRRL3249","3249_Z10_len1379680.region002","3249_Z10_len1379680",2,"3249_Z10__g008800--FGSG_09179..FSPOR_157","3249_Z10__g008800--FGSG_09179..FSPOR_157","other","N/A",734879,735439,-1
"NRRL3249","3249_Z10_len1379680.region002","3249_Z10_len1379680",2,"3249_Z10__g008801--FGSG_09178..FSPOR_158","3249_Z10__g008801--FGSG_09178..FSPOR_158","other","N/A",736239,738754,-1
"NRRL3249","3249_Z10_len1379680.region002","3249_Z10_len1379680",2,"3249_Z10__g008802--FGSG_13525..FSPOR_160","3249_Z10__g008802--FGSG_13525..FSPOR_160","other","N/A",742174,743621,-1
"NRRL3249","3249_Z10_len1379680.region002","3249_Z10_len1379680",2,"3249_Z10__g008803--FSPOR_161","3249_Z10__g008803--FSPOR_161","transport","N/A",745171,746885,1
"NRRL3249","3249_Z10_len1379680.region002","3249_Z10_len1379680",2,"3249_Z10__g008804--FGSG_09169..FSPOR_162","3249_Z10__g008804--FGSG_09169..FSPOR_162","biosynthetic-additional","N/A",747248,748389,1
"NRRL3249","3249_Z10_len1379680.region002","3249_Z10_len1379680",2,"FSR1","3249_Z10__g008797--FGSG_09182..FSPOR_154","biosynthetic","T1PKS",722594,729733,1
"NRRL3249","3249_Z10_len1379680.region002","3249_Z10_len1379680",2,"FSR2","3249_Z10__g008796--FGSG_09183..FSPOR_153","biosynthetic-additional","N/A",720710,721937,-1
"NRRL3249","3249_Z10_len1379680.region002","3249_Z10_len1379680",2,"FSR3","3249_Z10__g008795--FGSG_09184..FSPOR_152","other","N/A",718598,720290,1
"NRRL3249","3249_Z10_len1379680.region002","3249_Z10_len1379680",2,"FSR5","3249_Z10__g008792--FGSG_09187..FSPOR_148","biosynthetic-additional","N/A",710972,711772,1
"NRRL3249","3249_Z11_len1352086.region001","3249_Z11_len1352086",1,"3249_Z11__g009037","3249_Z11__g009037","biosynthetic","T1PKS",6414,14141,-1
"NRRL3249","3249_Z11_len1352086.region001","3249_Z11_len1352086",1,"3249_Z11__g009038","3249_Z11__g009038","biosynthetic-additional","N/A",15361,16371,-1
"NRRL3249","3249_Z11_len1352086.region001","3249_Z11_len1352086",1,"3249_Z11__g009039","3249_Z11__g009039","other","N/A",17422,18228,1
"NRRL3249","3249_Z11_len1352086.region001","3249_Z11_len1352086",1,"3249_Z11__g009040","3249_Z11__g009040","biosynthetic-additional","N/A",18325,19444,-1
"NRRL3249","3249_Z11_len1352086.region001","3249_Z11_len1352086",1,"3249_Z11__g009041","3249_Z11__g009041","biosynthetic-additional","N/A",20042,21763,1
"NRRL3249","3249_Z11_len1352086.region001","3249_Z11_len1352086",1,"3249_Z11__g009042","3249_Z11__g009042","transport","N/A",22618,23139,-1
"NRRL3249","3249_Z11_len1352086.region001","3249_Z11_len1352086",1,"3249_Z11__g009043","3249_Z11__g009043","transport","N/A",23386,27583,-1
"NRRL3249","3249_Z11_len1352086.region001","3249_Z11_len1352086",1,"3249_Z11__g009044","3249_Z11__g009044","other","N/A",28915,29760,1
"NRRL3249","3249_Z11_len1352086.region001","3249_Z11_len1352086",1,"3249_Z11__g009045","3249_Z11__g009045","biosynthetic-additional","N/A",29790,30554,-1
"NRRL3249","3249_Z11_len1352086.region001","3249_Z11_len1352086",1,"3249_Z11__g009046","3249_Z11__g009046","biosynthetic","NRPS",31443,71755,1
"NRRL3249","3249_Z11_len1352086.region001","3249_Z11_len1352086",1,"3249_Z11__g009047","3249_Z11__g009047","biosynthetic-additional","N/A",74163,75518,-1
"NRRL3249","3249_Z11_len1352086.region001","3249_Z11_len1352086",1,"3249_Z11__g009048","3249_Z11__g009048","other","N/A",76325,77587,1
"NRRL3249","3249_Z11_len1352086.region001","3249_Z11_len1352086",1,"3249_Z11__g009049--FSPOR_9115","3249_Z11__g009049--FSPOR_9115","other","N/A",78705,82205,1
"NRRL3249","3249_Z11_len1352086.region001","3249_Z11_len1352086",1,"3249_Z11__g009050","3249_Z11__g009050","other","N/A",83656,84300,-1
"NRRL3249","3249_Z11_len1352086.region002","3249_Z11_len1352086",2,"3249_Z11__g009267","3249_Z11__g009267","other","N/A",763183,764140,1
"NRRL3249","3249_Z11_len1352086.region002","3249_Z11_len1352086",2,"3249_Z11__g009268--FGSG_08172..FSPOR_4190","3249_Z11__g009268--FGSG_08172..FSPOR_4190","other","N/A",766494,766950,1
"NRRL3249","3249_Z11_len1352086.region002","3249_Z11_len1352086",2,"3249_Z11__g009269--FGSG_08173..FSPOR_4191","3249_Z11__g009269--FGSG_08173..FSPOR_4191","other","N/A",767798,769643,1
"NRRL3249","3249_Z11_len1352086.region002","3249_Z11_len1352086",2,"3249_Z11__g009270--FGSG_08174..FSPOR_4192","3249_Z11__g009270--FGSG_08174..FSPOR_4192","other","N/A",770270,771304,-1
"NRRL3249","3249_Z11_len1352086.region002","3249_Z11_len1352086",2,"3249_Z11__g009271--FSPOR_6044","3249_Z11__g009271--FSPOR_6044","biosynthetic-additional","N/A",772343,774024,-1
"NRRL3249","3249_Z11_len1352086.region002","3249_Z11_len1352086",2,"3249_Z11__g009272--FGSG_08175..FSPOR_6045","3249_Z11__g009272--FGSG_08175..FSPOR_6045","other","N/A",776920,778413,1
"NRRL3249","3249_Z11_len1352086.region002","3249_Z11_len1352086",2,"3249_Z11__g009273","3249_Z11__g009273","other","N/A",778803,779219,1
"NRRL3249","3249_Z11_len1352086.region002","3249_Z11_len1352086",2,"3249_Z11__g009274--FGSG_08181..FSPOR_6046","3249_Z11__g009274--FGSG_08181..FSPOR_6046","biosynthetic","terpene",779510,780774,-1
"NRRL3249","3249_Z11_len1352086.region002","3249_Z11_len1352086",2,"3249_Z11__g009275--FGSG_08182..FSPOR_6047","3249_Z11__g009275--FGSG_08182..FSPOR_6047","other","N/A",781998,783779,1
"NRRL3249","3249_Z11_len1352086.region002","3249_Z11_len1352086",2,"3249_Z11__g009276--FGSG_08183..FSPOR_6048","3249_Z11__g009276--FGSG_08183..FSPOR_6048","biosynthetic-additional","N/A",784662,786624,1
"NRRL3249","3249_Z11_len1352086.region002","3249_Z11_len1352086",2,"3249_Z11__g009277--FGSG_08184..FSPOR_6049","3249_Z11__g009277--FGSG_08184..FSPOR_6049","biosynthetic","isocyanide-nrp",787713,791874,1
"NRRL3249","3249_Z11_len1352086.region002","3249_Z11_len1352086",2,"3249_Z11__g009278--FGSG_08185..FSPOR_6050","3249_Z11__g009278--FGSG_08185..FSPOR_6050","biosynthetic","isocyanide-nrp",792846,794307,1
"NRRL3249","3249_Z11_len1352086.region002","3249_Z11_len1352086",2,"3249_Z11__g009279--FGSG_08186..FSPOR_6051","3249_Z11__g009279--FGSG_08186..FSPOR_6051","biosynthetic-additional","N/A",794997,796881,-1
"NRRL3249","3249_Z11_len1352086.region002","3249_Z11_len1352086",2,"3249_Z11__g009280--FGSG_08187..FSPOR_6052","3249_Z11__g009280--FGSG_08187..FSPOR_6052","biosynthetic-additional","N/A",797839,799634,-1
"NRRL3249","3249_Z11_len1352086.region002","3249_Z11_len1352086",2,"3249_Z11__g009282--FGSG_13428..FSPOR_6054","3249_Z11__g009282--FGSG_13428..FSPOR_6054","other","N/A",807287,808726,1
"NRRL3249","3249_Z11_len1352086.region002","3249_Z11_len1352086",2,"3249_Z11__g009283--FSPOR_6055","3249_Z11__g009283--FSPOR_6055","other","N/A",809159,810000,-1
"NRRL3249","3249_Z11_len1352086.region002","3249_Z11_len1352086",2,"3249_Z11__g009284--FGSG_08190..FSPOR_6056","3249_Z11__g009284--FGSG_08190..FSPOR_6056","other","N/A",812527,813520,-1
"NRRL3249","3249_Z11_len1352086.region002","3249_Z11_len1352086",2,"3249_Z11__g009285","3249_Z11__g009285","biosynthetic-additional","N/A",815374,815808,1
"NRRL3249","3249_Z11_len1352086.region002","3249_Z11_len1352086",2,"3249_Z11__g009286--FGSG_08192..FSPOR_6058","3249_Z11__g009286--FGSG_08192..FSPOR_6058","biosynthetic-additional","N/A",815891,817001,-1
"NRRL3249","3249_Z11_len1352086.region002","3249_Z11_len1352086",2,"CCC2_2","3249_Z11__g009281--FGSG_08188..FSPOR_6053","other","N/A",800739,804088,1
"NRRL3249","3249_Z11_len1352086.region003","3249_Z11_len1352086",3,"3249_Z11__g009291","3249_Z11__g009291","other","N/A",827440,828624,1
"NRRL3249","3249_Z11_len1352086.region003","3249_Z11_len1352086",3,"3249_Z11__g009292","3249_Z11__g009292","other","N/A",828737,829809,1
"NRRL3249","3249_Z11_len1352086.region003","3249_Z11_len1352086",3,"3249_Z11__g009293","3249_Z11__g009293","other","N/A",830342,832296,1
"NRRL3249","3249_Z11_len1352086.region003","3249_Z11_len1352086",3,"3249_Z11__g009294--FGSG_08203..FSPOR_6063","3249_Z11__g009294--FGSG_08203..FSPOR_6063","other","N/A",833746,835420,1
"NRRL3249","3249_Z11_len1352086.region003","3249_Z11_len1352086",3,"3249_Z11__g009295--FGSG_08204..FSPOR_6064","3249_Z11__g009295--FGSG_08204..FSPOR_6064","other","N/A",837198,838429,1
"NRRL3249","3249_Z11_len1352086.region003","3249_Z11_len1352086",3,"3249_Z11__g009296--FGSG_08205..FSPOR_6065","3249_Z11__g009296--FGSG_08205..FSPOR_6065","biosynthetic-additional","N/A",838963,840666,-1
"NRRL3249","3249_Z11_len1352086.region003","3249_Z11_len1352086",3,"3249_Z11__g009297--FGSG_08206..FSPOR_6066","3249_Z11__g009297--FGSG_08206..FSPOR_6066","other","N/A",841943,842321,1
"NRRL3249","3249_Z11_len1352086.region003","3249_Z11_len1352086",3,"3249_Z11__g009298--FGSG_08207..FSPOR_6067","3249_Z11__g009298--FGSG_08207..FSPOR_6067","biosynthetic-additional","N/A",842602,844351,-1
"NRRL3249","3249_Z11_len1352086.region003","3249_Z11_len1352086",3,"3249_Z11__g009301--FGSG_08210..FSPOR_6070","3249_Z11__g009301--FGSG_08210..FSPOR_6070","other","N/A",868574,869124,-1
"NRRL3249","3249_Z11_len1352086.region003","3249_Z11_len1352086",3,"3249_Z11__g009302--FSPOR_6071","3249_Z11__g009302--FSPOR_6071","biosynthetic-additional","N/A",871701,873044,-1
"NRRL3249","3249_Z11_len1352086.region003","3249_Z11_len1352086",3,"3249_Z11__g009303--FGSG_13420..FSPOR_6073","3249_Z11__g009303--FGSG_13420..FSPOR_6073","other","N/A",876383,876989,1
"NRRL3249","3249_Z11_len1352086.region003","3249_Z11_len1352086",3,"3249_Z11__g009304--FGSG_08220..FSPOR_6074","3249_Z11__g009304--FGSG_08220..FSPOR_6074","other","N/A",877116,878279,-1
"NRRL3249","3249_Z11_len1352086.region003","3249_Z11_len1352086",3,"3249_Z11__g009305--FSPOR_6075","3249_Z11__g009305--FSPOR_6075","biosynthetic-additional","N/A",878924,879793,1
"NRRL3249","3249_Z11_len1352086.region003","3249_Z11_len1352086",3,"3249_Z11__g009306--FGSG_09087..FSPOR_6076","3249_Z11__g009306--FGSG_09087..FSPOR_6076","other","N/A",880262,880699,1
"NRRL3249","3249_Z11_len1352086.region003","3249_Z11_len1352086",3,"3249_Z11__g009307--FGSG_08221..FSPOR_6077","3249_Z11__g009307--FGSG_08221..FSPOR_6077","biosynthetic-additional","N/A",880919,882726,-1
"NRRL3249","3249_Z11_len1352086.region003","3249_Z11_len1352086",3,"3249_Z11__g009308","3249_Z11__g009308","other","N/A",887985,891205,-1
"NRRL3249","3249_Z11_len1352086.region003","3249_Z11_len1352086",3,"3249_Z11__g009309--FGSG_08224..FSPOR_6080","3249_Z11__g009309--FGSG_08224..FSPOR_6080","other","N/A",891759,892129,1
"NRRL3249","3249_Z11_len1352086.region003","3249_Z11_len1352086",3,"3249_Z11__g009310--FSPOR_6081","3249_Z11__g009310--FSPOR_6081","other","N/A",896218,896589,-1
"NRRL3249","3249_Z11_len1352086.region003","3249_Z11_len1352086",3,"3249_Z11__g009311--FGSG_13418..FSPOR_6082","3249_Z11__g009311--FGSG_13418..FSPOR_6082","other","N/A",898666,900378,1
